State,State Code,Deaths,Births,Death Rate,Abortion Ban Category,AbortionBanNum,HHINCOME,female_rate,age_rate,white_rate,black_rate,asian_rate,other_race_rate,hispanic_rate,hc_no,hc_priv,hc_med,ed_nohs,ed_hs,ed_some_col,ed_bach,ed_grad,emp_rate,Region
Georgia,13.0,893.0,126130.0,7.08,6-week ban,6,86530.0,0.5125698451746243,0.3656366313363633,0.5992647395037907,0.2307291333254076,0.0054504385042387,0.0086146192466323,0.0106448161391507,0.1980265022999753,0.6723609726655022,0.1296125250345225,0.0562876660966264,0.0729224775718113,0.0604669452852792,0.0230454782393986,0.0239234012199471,0.018179701596787,South Atlantic
Hawaii,15.0,90.0,15535.0,5.79,24-26-week ban,2,117500.0,0.4986328776258752,0.3509836612204068,0.2340113371123708,0.0150050016672224,0.0018672890963654,0.0439479826608869,0.0289429809936645,0.0936978992997665,0.7645215071690563,0.141780593531177,0.0530843614538179,0.0652884294764921,0.0511503834611537,0.0157385795265088,0.0134711570523507,0.0182126217704362,Pacific
Idaho,16.0,118.0,22391.0,5.27,Total abortion ban,7,81100.0,0.5009052504526252,0.3714041440354053,0.8344900422450211,0.0059847113256889,0.0194628847314423,0.0020116676725005,0.0033695433514383,0.157966203983102,0.6774290887145443,0.1646047073023536,0.0633675316837658,0.0852444176222088,0.0635184067592033,0.0211225105612552,0.0220277610138805,0.013165609509088,West
Illinois,17.0,718.0,128350.0,5.59,24-26-week ban,2,92000.0,0.510176030489043,0.3571528981772175,0.7088546303672117,0.0887337363135123,0.0060993705387126,0.0096840198053824,0.0126126548271714,0.1333817534323602,0.710447807819065,0.1561704387485747,0.058361838714212,0.070982303234775,0.059806631991628,0.0171344673008137,0.0193602299173734,0.0202915072062535,Midwest
Indiana,18.0,570.0,79649.0,7.16,Total abortion ban,7,78000.0,0.5085405838809902,0.3616253597354065,0.8249931990321149,0.0597769282533682,0.0032358289306014,0.0041092163853213,0.0056984951963689,0.1500794639405523,0.6828028578382944,0.1671176782211531,0.0640150050828286,0.0723766161247369,0.06296980370259,0.019314748793723,0.0245121200406626,0.0157328720764082,Midwest
Iowa,19.0,190.0,36506.0,5.2,6-week ban,6,81700.0,0.5025308164116,0.3480616923718216,0.8899839218722086,0.0220032156255582,0.0039302090156612,0.0019353301971059,0.0019651045078306,0.1234145179539093,0.7245280771750134,0.1520574048710772,0.0585362948847734,0.0735723218007503,0.0532364675757756,0.017358423152504,0.0192044304174358,0.01166125023896,Midwest
Kansas,20.0,200.0,34401.0,5.81,18-23-week ban,3,80000.0,0.5030728122912491,0.3588510354041416,0.8136940547762191,0.0358717434869739,0.0104876419505678,0.0035404141616566,0.0036072144288577,0.1565130260521042,0.7303941215764863,0.1130928523714094,0.0575818303273213,0.0752171008684034,0.061690046760187,0.0188710754843019,0.0203740814963259,0.0153459030337397,Midwest
Kentucky,21.0,302.0,52315.0,5.77,Total abortion ban,7,71500.0,0.5109108464757001,0.3494474841755176,0.8577405857740585,0.0555090655509065,0.0019096663448127,0.0019311232700354,0.0041411865679648,0.1378607445553052,0.6348031327110825,0.2273361227336122,0.0616672030897972,0.0690698422915996,0.0672889174981225,0.0230232807638665,0.0251260594356828,0.0181543457669929,South
Louisiana,22.0,416.0,56479.0,7.37,Total abortion ban,7,67500.0,0.5190941385435168,0.3491119005328597,0.6309280639431616,0.2454262877442273,0.009791296625222,0.0032415630550621,0.0049067495559502,0.1605683836589698,0.5939387211367673,0.2454928952042628,0.059880106571936,0.0697824156305506,0.0643428063943161,0.0240896980461811,0.0276198934280639,0.0227538195580058,South
Maine,23.0,77.0,12093.0,6.37,24-26-week ban,2,78000.0,0.5082971837774565,0.3058596708669008,0.9122082214418508,0.0118432830682365,0.0081250430351855,0.0031673896577842,0.0037870963299593,0.1666322385182125,0.6488328857674034,0.184534875714384,0.0433106107553535,0.0532259175101563,0.0495765337740136,0.016043517179646,0.0192797631343386,0.0144895063111509,New England
Maryland,24.0,415.0,68782.0,6.03,No gestational ban,1,120000.0,0.5200666218250537,0.3569552544761539,0.5686396976394094,0.2229909355882258,0.0045802504724384,0.0190096409467986,0.0103616155792575,0.1026072194996957,0.7561737292207168,0.1412190512795874,0.0573011754908555,0.0726273982255533,0.0572531309054802,0.0180967938246692,0.0185612248166298,0.0183133581763856,Mid Atlantic
